kc,kf,K,l,n_sim,C0av,C0bav,F0av,Cav,Cbav,Fav,r,ER,std,mean
0.01,0.0,0.0,0.1,0.0,0.5135593220338983,0.021209091257657898,0.05884084663633191,0.7722580645161291,0.03680765866372076,0.09648670631901732,31,6.680883653904295,0.04226340363533715,0.11134806089840493
0.01,0.0,0.0,0.1,1.0,0.2649152542372882,0.007452482202033087,0.030867995623371187,0.28783783783783784,0.008853115100706438,0.037686597193659035,37,18.118718911884564,1.416694813490277,0.30197864853140943
0.01,0.0,0.0,0.1,2.0,0.43779661016949156,0.015750054674380926,0.04946216014601455,0.592258064516129,0.02526718508786806,0.07444762621909268,31,7.095028093182011,0.04842151700423939,0.11825046821970016
0.01,0.0,0.0,0.1,3.0,0.36457627118644065,0.01189706682091849,0.04203526230677761,0.3119318181818182,0.010034809840573831,0.04290975916197687,33,6.6556914438924775,0.041678183422891535,0.11092819073154132
0.01,0.0,0.0,0.1,4.0,0.3788135593220339,0.013405819846707258,0.043414150067724484,0.33277310924369746,0.012568397515272117,0.04487385401559641,35,7.108164349659806,0.059695208916454266,0.11846940582766342
0.01,0.0,0.0,0.1,5.0,0.4866101694915255,0.01835438192564876,0.056222012591502585,0.44919786096256686,0.018764129565544903,0.05715738601749781,34,17.68207282024962,1.393410015743599,0.294701213670827
0.01,0.0,0.0,0.1,6.0,0.27305084745762714,0.0071343985485674555,0.03093667011535763,0.2707563025210084,0.007942776174002195,0.03699233419961603,35,7.185628407305524,0.05525348339698068,0.1197604734550921
0.01,0.0,0.0,0.1,7.0,0.5257627118644068,0.01941241453148557,0.05861824129558442,0.49462184873949583,0.017689402415846427,0.06324933144568473,35,7.142086227330669,0.05153365592086259,0.11903477045551115
0.01,0.0,0.0,0.1,8.0,0.3589830508474577,0.010739025002784407,0.03930897910529966,0.3340909090909091,0.009969105397569017,0.04167363502395378,33,17.78323142623032,1.3726675586100043,0.296387190437172
0.01,0.0,0.0,0.1,9.0,0.33864406779661016,0.009443405752657355,0.036991868825347614,0.3904761904761905,0.0122859238830527,0.05071723282575679,28,7.447303755088294,0.06995130131218587,0.12412172925147158
0.01,0.0,0.0,0.1,10.0,0.3188135593220339,0.01027201405646183,0.03760094687610596,0.34324324324324323,0.011591489389901464,0.043415961216533364,37,7.019997041221022,0.058916176177916474,0.11699995068701702
0.01,0.0,0.0,0.1,11.0,0.4754237288135593,0.01606870663759846,0.05066510677422939,0.40428571428571425,0.01231951163495654,0.05075484858600415,36,6.904153302040839,0.04341976520238346,0.11506922170068064
0.01,0.0,0.0,0.1,12.0,0.3376271186440678,0.011988266121724609,0.04018615507674707,0.372972972972973,0.015320674110156661,0.04779947440743132,37,6.800661981810651,0.04051571837399071,0.11334436636351088
0.01,0.0,0.0,0.1,13.0,0.31627118644067803,0.007885321256678386,0.03659552799457088,0.3025210084033613,0.008232454004751807,0.040238314706490565,35,7.0717964174655545,0.05550239363838178,0.11786327362442592
0.01,0.0,0.0,0.1,14.0,0.4123728813559322,0.013925285234704116,0.047467997397611705,0.27580645161290324,0.008318924732371825,0.040077512914115605,32,6.824328657791082,0.0422634368684283,0.1137388109631847
0.01,0.0,0.0,0.1,15.0,0.5257627118644068,0.016895709215144192,0.05431625834358176,0.5659090909090909,0.018787002474040658,0.06921204465887397,33,17.394617925685907,1.3544329105083488,0.2899102987614319
0.01,0.0,0.0,0.1,16.0,0.39610169491525427,0.011639984749737797,0.04486383908994827,0.3085714285714286,0.008964180346456817,0.03996334028054616,35,6.8198051538334745,0.045228179333352624,0.11366341923055787
0.01,0.0,0.0,0.1,17.0,0.48101694915254245,0.016822307930312697,0.05299500325190967,0.49008403361344544,0.01684384413559616,0.060264228852614524,35,7.0374871760928945,0.05234320596916209,0.11729145293488157
0.01,0.0,0.0,0.1,18.0,0.35491525423728815,0.010932440120539693,0.03951112658579512,0.18770053475935827,0.005080920459857149,0.029017826811547333,34,6.91768715980159,0.04696354153897506,0.11529478599669316
0.01,0.0,0.0,0.1,19.0,0.26745762711864407,0.007374761533354569,0.031073895679193914,0.18513513513513516,0.0045351410559431055,0.025582036900553853,37,17.675004747573578,1.4271501240989732,0.2945834124595597
0.01,0.0,0.0,0.1,20.0,0.534406779661017,0.018877238549904307,0.059539201262741905,0.4681451612903226,0.015564223131316685,0.06066677828386422,32,6.9190094442278225,0.037195239042434484,0.11531682407046369
0.01,0.0,0.0,0.1,21.0,0.6096610169491525,0.02457690912759861,0.06957071570403175,0.5965909090909091,0.024741238989397528,0.07425917578614671,33,6.873687904254885,0.05431260226043881,0.11456146507091476
0.01,0.0,0.0,0.1,22.0,0.4057627118644068,0.01253945725930716,0.045859728630569446,0.3213371266002845,0.009474882624042037,0.040345797374835665,38,6.933322328287301,0.045995060621601275,0.11555537213812164
0.01,0.0,0.0,0.1,23.0,0.35542372881355927,0.009878387073887567,0.03937421356895023,0.4732620320855615,0.01542226850676533,0.060136889878002,34,7.398257943236208,0.0427903236108544,0.1233042990539368
0.01,0.0,0.0,0.1,24.0,0.36559322033898306,0.010570666413737585,0.04283578205012436,0.4749644381223329,0.015162600399135567,0.060783599762601795,38,6.820666322343738,0.04018369887492656,0.11367777203906226
0.01,0.0,0.0,0.1,25.0,0.30305084745762717,0.00745444825170371,0.03408151786696776,0.22235294117647061,0.005535173021882065,0.03201281758025681,35,7.11920399978137,0.04530008473407413,0.11865339999635617
0.01,0.0,0.0,0.1,26.0,0.34779661016949154,0.009865996240408577,0.038424881676651534,0.3247983870967742,0.011039778887949644,0.045556521770993515,32,6.783492264108757,0.04886243415379727,0.11305820440181262
0.01,0.0,0.0,0.1,27.0,0.4728813559322034,0.016477538817248324,0.05452639694387073,0.4896774193548388,0.018251629174783564,0.06354544250814843,31,7.167417021432726,0.06373217961683365,0.11945695035721211
0.01,0.0,0.0,0.1,28.0,0.33406779661016944,0.009413770042767038,0.039111524226844344,0.3387096774193548,0.00900172052366307,0.04660354481572187,31,6.516536775542839,0.03483628053319053,0.10860894625904732
0.01,0.0,0.0,0.1,29.0,0.4286440677966102,0.014201383431741453,0.046350651408278286,0.5441379310344828,0.020815766373305847,0.06865164407523631,30,7.33902176141867,0.05014696797164342,0.1223170293569778
0.01,0.0,0.0,0.1,30.0,0.2796610169491525,0.008016462574635378,0.031693594001043594,0.3828571428571429,0.012996352381202642,0.0497306235747749,36,7.073431384823821,0.04752027340316566,0.11789052308039705
0.01,0.0,0.0,0.1,31.0,0.4022033898305085,0.012386359698489025,0.04588828435690748,0.3520161290322581,0.010841720006569446,0.048645820385454994,32,6.713129002512348,0.041114790854232176,0.11188548337520582
0.01,0.0,0.0,0.1,32.0,0.33864406779661016,0.011357293882469484,0.039444297640681004,0.25508021390374336,0.008073245885374593,0.03417109528916123,34,6.7247682684755254,0.04205192962965122,0.11207947114125875
0.01,0.0,0.0,0.1,33.0,0.46322033898305087,0.016059445716592003,0.05277535512586724,0.5358288770053476,0.021600344584801753,0.0686379894053714,34,7.155940377670293,0.04854523998583529,0.11926567296117155
0.01,0.0,0.0,0.1,34.0,0.38491525423728823,0.011569165421624368,0.042232347873982036,0.4459893048128343,0.016399098001071453,0.05366698475597195,34,7.140663125868576,0.062497407340313595,0.1190110520978096
0.01,0.0,0.0,0.1,35.0,0.4444067796610169,0.013823273182743638,0.05033854911802821,0.41351351351351356,0.01330993773743736,0.053302720984869045,38,17.79302795897687,1.3789869531188566,0.2965504659829479
0.01,0.0,0.0,0.1,36.0,0.3579661016949153,0.011377647082460153,0.041702864214444774,0.3475862068965517,0.012437114467675352,0.04890559843456339,30,17.361404582328316,1.3605293060184083,0.2893567430388052
0.01,0.0,0.0,0.1,37.0,0.346271186440678,0.009675430791992509,0.039883565813342285,0.4893048128342246,0.01615997548766189,0.062338240168727146,34,7.041514624794007,0.04473569099308236,0.11735857707990015
0.01,0.0,0.0,0.1,38.0,0.5796610169491525,0.021137865090894187,0.0646426471131699,0.6600000000000001,0.026506101129281687,0.07836443314352809,36,7.2092306730755515,0.06230561674571914,0.12015384455125913
0.01,0.0,0.0,0.1,39.0,0.42966101694915254,0.011502223661545394,0.046607121549718564,0.4780645161290323,0.014651747580122738,0.06077652854990674,31,6.844354329837605,0.04541718358305985,0.11407257216396008
0.01,0.0,0.0,0.1,40.0,0.29084745762711867,0.008640956358190016,0.03342285480875778,0.3918918918918919,0.013824437925266891,0.049258969885163435,37,7.78871863742936,0.0971604246451765,0.1298119772904893
0.01,0.0,0.0,0.1,41.0,0.4016949152542373,0.013109707292982437,0.04521318195898653,0.43428571428571433,0.015475328770508633,0.054204102400057734,36,6.824187475125483,0.05363769970580841,0.11373645791875807
0.01,0.0,0.0,0.1,42.0,0.2288135593220339,0.00584819810759049,0.025514062037415075,0.23783783783783788,0.006958869209667299,0.030525694410761996,37,28.982206394410237,1.9763199905172522,0.48303677324017064
0.01,0.0,0.0,0.1,43.0,0.47440677966101696,0.014494892926578946,0.04969746264549906,0.4844919786096258,0.01769355615921582,0.05947529145621869,34,6.662960305370811,0.0482606802536252,0.11104933842284688
0.01,0.0,0.0,0.1,44.0,0.3193220338983051,0.008931214078633124,0.036371885006583,0.2518716577540107,0.00724686896599331,0.03636975916028851,34,6.505355153056692,0.041423716973426554,0.10842258588427818
0.01,0.0,0.0,0.1,45.0,0.32949152542372884,0.00982408750226924,0.037664661286744394,0.31022727272727274,0.009567000548362502,0.04322475477811854,33,6.618809971155587,0.045618155788648446,0.1103134995192598
0.01,0.0,0.0,0.1,46.0,0.3371186440677966,0.010065828099834879,0.036584684283037176,0.232620320855615,0.006845845049139169,0.03083990693396739,34,18.129596540767924,1.4226562500740694,0.3021599423461318
0.01,0.0,0.0,0.1,47.0,0.38033898305084746,0.01168927464831403,0.043452095682858974,0.28588235294117653,0.008809878222885148,0.03866026447741369,35,6.784067473321206,0.05778440480000144,0.1130677912220201
0.01,0.0,0.0,0.1,48.0,0.38084745762711864,0.012632012267197887,0.04253296761052913,0.37034482758620696,0.013454511646907587,0.05186460566625061,30,6.845674526191351,0.050122677273670535,0.11409457543652252
0.01,0.0,0.0,0.1,49.0,0.3386440677966102,0.009445608477568151,0.039036200366896145,0.3561497326203209,0.01086989675138544,0.04622461168734611,34,6.64943647232725,0.04185449313815035,0.11082394120545418
0.01,0.0,0.0,0.1,50.0,0.332542372881356,0.009287149987763263,0.03776183457723063,0.2983957219251337,0.009417147597140806,0.039963728814479724,34,17.904377872496582,1.3926458839198932,0.298406297874943
0.01,0.0,0.0,0.1,51.0,0.518135593220339,0.018403242655922962,0.058393543688725735,0.4738636363636363,0.01767679135115749,0.05970876051311951,33,6.944170862470575,0.04221570536918732,0.11573618104117624
0.01,0.0,0.0,0.1,52.0,0.3330508474576272,0.009831210754605689,0.03793187094193064,0.2679144385026738,0.007123635403340167,0.03722266486759481,34,6.698513908437754,0.04386497798373517,0.11164189847396254
0.01,0.0,0.0,0.1,53.0,0.3503389830508475,0.010738409877786735,0.040109413265244157,0.48629032258064514,0.017841912746887508,0.06123866555101001,32,6.781185965981774,0.040139881236556624,0.11301976609969623
0.01,0.0,0.0,0.1,54.0,0.6091525423728815,0.021456963650684377,0.06971112273785705,0.6929032258064517,0.026260353045776213,0.08784800635858957,31,6.5483075728742595,0.0388005831338675,0.10913845954790435
0.01,0.0,0.0,0.1,55.0,0.3442372881355932,0.010103771772494366,0.039600106358668216,0.3635135135135135,0.01259174943075657,0.046574347689561806,37,7.190281625741088,0.06203881993966229,0.11983802709568483
